category,difficulty,topic,question,answer,source_type
Java,Easy,Java Basics,What is Java?,"Java is a high-level, object-oriented, platform-independent programming language.",technical
Java,Easy,Java Basics,Why is Java platform independent?,"Java uses bytecode executed by the JVM, making it platform independent.",technical
Java,Easy,Java Basics,What are features of Java?,"OOP, portability, robustness, security, multithreading.",technical
Java,Easy,JVM,What is JVM?,JVM executes Java bytecode and manages runtime memory.,technical
Java,Easy,JVM,What is bytecode?,Bytecode is intermediate code generated by the Java compiler.,technical
Java,Easy,JDK vs JRE,Difference between JDK and JRE,JDK includes development tools; JRE provides runtime environment.,technical
Java,Easy,OOP Concepts,What is encapsulation?,Encapsulation binds data and methods and restricts access.,technical
Java,Easy,OOP Concepts,What is inheritance?,Inheritance allows one class to acquire properties of another.,technical
Java,Easy,OOP Concepts,What is polymorphism?,Ability of a method to take multiple forms.,technical
Java,Easy,OOP Concepts,What is abstraction?,Hiding implementation details and showing only functionality.,technical
Java,Easy,Classes & Objects,What is a class?,A blueprint for creating objects.,technical
Java,Easy,Classes & Objects,What is an object?,An instance of a class.,technical
Java,Easy,Constructors,What is a constructor?,A special method used to initialize objects.,technical
Java,Easy,Packages,What is a package?,A namespace that groups related classes.,technical
Java,Easy,Access Modifiers,Name Java access modifiers,"public, private, protected, default.",technical
Java,Medium,Methods,What is method overloading?,Same method name with different parameter lists.,technical
Java,Medium,Methods,What is method overriding?,Subclass provides its own implementation of a method.,technical
Java,Medium,Interfaces,What is an interface?,A blueprint containing abstract methods.,technical
Java,Medium,Abstract Classes,Abstract class vs interface,Abstract class can have implementation; interface cannot.,technical
Java,Medium,Exception Handling,What is exception handling?,Handling runtime errors using try-catch blocks.,technical
Java,Medium,Exception Handling,Checked vs unchecked exceptions,"Checked at compile-time, unchecked at runtime.",technical
Java,Medium,Multithreading,What is multithreading?,Executing multiple threads simultaneously.,technical
Java,Medium,Thread Lifecycle,Explain thread lifecycle,"New, Runnable, Running, Blocked, Terminated.",technical
Java,Medium,Synchronization,What is synchronization?,Controls access to shared resources.,technical
Java,Medium,Collections,What is Java Collections Framework?,"Framework providing List, Set, Map.",technical
Java,Medium,Collections,ArrayList vs LinkedList,"ArrayList faster access, LinkedList faster insertion.",technical
Java,Medium,Collections,HashMap vs Hashtable,HashMap is unsynchronized; Hashtable is synchronized.,technical
Java,Medium,Strings,String vs StringBuilder,"String is immutable, StringBuilder is mutable.",technical
Java,Medium,Memory Management,What is garbage collection?,Automatic removal of unused objects.,technical
Java,Medium,JDBC,What is JDBC?,API for connecting Java with databases.,technical
Java,Medium,Keywords,What is final keyword?,Prevents modification.,technical
Java,Medium,Keywords,What is static keyword?,Belongs to class rather than instance.,technical
Java,Medium,Inheritance,Does Java support multiple inheritance?,"Yes, through interfaces.",technical
Java,Medium,Packages,Purpose of packages,Organize classes and prevent name conflicts.,technical
Java,Medium,Threads,Runnable vs Thread,Runnable supports multiple inheritance.,technical
Java,Hard,JVM Internals,Explain Java memory model,Defines how threads interact through memory.,technical
Java,Hard,Concurrency,What is volatile keyword?,Ensures visibility of variable updates across threads.,technical
Java,Hard,Reflection,What is reflection?,Inspect classes and methods at runtime.,technical
Java,Hard,Serialization,What is serialization?,Converting object into byte stream.,technical
Java,Hard,Serialization,What is deserialization?,Reconstructing object from byte stream.,technical
Java,Hard,Class Loading,What is classloader?,Loads classes into JVM dynamically.,technical
Java,Hard,Functional Programming,What are lambda expressions?,Anonymous functions enabling functional programming.,technical
Java,Hard,Functional Programming,What is functional interface?,Interface with single abstract method.,technical
Java,Hard,Streams API,Explain Streams API,Processes collections using functional style.,technical
Java,Hard,Concurrency,What is ExecutorService?,Manages thread pools.,technical
Java,Hard,Concurrency,What is CompletableFuture?,Supports async non-blocking tasks.,technical
Java,Hard,Spring Framework,What is Spring Framework?,Framework for enterprise Java development.,technical
Java,Hard,Spring Framework,What is dependency injection?,Providing dependencies externally.,technical
Java,Hard,Performance,How to improve Java performance?,"Profiling, GC tuning, efficient collections.",technical
Java,Hard,Security,How does Java ensure security?,"Sandboxing, bytecode verification, security manager.",technical
