id,category,difficulty,topic,question,answer,source_type
1,Java,Easy,Java Basics,What is Java and why is it considered platform independent?,"Java is a high-level, object-oriented programming language developed by Sun Microsystems. It is platform independent because Java code is compiled into bytecode, which runs on the Java Virtual Machine (JVM). Any system with a JVM can execute this bytecode, enabling the 'write once, run anywhere' principle.",Technical
2,Java,Easy,JVM,Explain the role of JVM in Java execution.,"The Java Virtual Machine (JVM) is responsible for loading, verifying, and executing Java bytecode. It manages memory, performs garbage collection, ensures security, and converts bytecode into machine-specific instructions.",Technical
3,Java,Easy,OOP Concepts,What is Object-Oriented Programming in Java?,"Object-Oriented Programming is a paradigm that organizes software design around objects. Java implements OOP using concepts like encapsulation, inheritance, polymorphism, and abstraction to build reusable and maintainable applications.",Technical
4,Java,Easy,Variables,What are variables in Java and how are they classified?,"Variables in Java are containers used to store data values. They are classified as local variables, instance variables, and static variables based on scope and lifetime.",Technical
5,Java,Easy,Data Types,Explain primitive and non-primitive data types in Java.,"Primitive data types store simple values such as int, float, and boolean. Non-primitive data types like String, arrays, and classes store references to objects and complex data.",Technical
6,Java,Medium,Encapsulation,Explain encapsulation in Java.,Encapsulation is the process of wrapping data and methods into a single unit called a class. It is achieved using private variables and public getter and setter methods to protect data integrity.,Technical
7,Java,Medium,Inheritance,What is inheritance and how does Java support it?,"Inheritance allows a class to acquire properties and behaviors of another class. Java supports inheritance using the 'extends' keyword, promoting code reuse and hierarchical classification.",Technical
8,Java,Medium,Polymorphism,Explain polymorphism in Java.,"Polymorphism allows one interface to be used for different data types. In Java, it is achieved through method overloading (compile-time) and method overriding (runtime).",Technical
9,Java,Medium,Abstraction,What is abstraction in Java?,Abstraction hides implementation details and shows only essential features. Java achieves abstraction using abstract classes and interfaces.,Technical
10,Java,Medium,Interface,What is an interface in Java?,An interface is a blueprint of a class that contains abstract methods. It supports multiple inheritance and defines what a class must implement.,Technical
11,Java,Medium,Exception Handling,Explain exception handling in Java.,"Exception handling is a mechanism to handle runtime errors using try, catch, finally, throw, and throws keywords. It ensures normal flow of program execution.",Technical
12,Java,Medium,Collections,What is the Java Collections Framework?,"The Java Collections Framework provides a set of classes and interfaces for storing and manipulating groups of data such as List, Set, and Map.",Technical
13,Java,Medium,Multithreading,What is multithreading in Java?,Multithreading allows concurrent execution of two or more threads to improve performance and resource utilization. Java supports multithreading using Thread class and Runnable interface.,Technical
14,Java,Medium,Synchronization,Explain synchronization in Java.,Synchronization is used to control access to shared resources in multithreaded environments. It prevents data inconsistency by allowing only one thread to access a resource at a time.,Technical
15,Java,Medium,Memory Management,What is garbage collection in Java?,"Garbage collection is an automatic memory management process that removes unused objects from memory, helping prevent memory leaks and optimize application performance.",Technical
16,Java,Medium,Strings,Explain String immutability in Java.,"Strings in Java are immutable, meaning their values cannot be changed once created. This improves security, thread safety, and performance through string pooling.",Technical
17,Java,Medium,Keywords,What is the static keyword in Java?,The static keyword belongs to the class rather than objects. Static variables and methods can be accessed without creating an instance of the class.,Technical
18,Java,Medium,Constructors,What is a constructor in Java?,A constructor is a special method used to initialize objects. It has the same name as the class and does not have a return type.,Technical
19,Java,Medium,Final Keyword,Explain the final keyword in Java.,"The final keyword is used to restrict modification. Final variables cannot be changed, final methods cannot be overridden, and final classes cannot be inherited.",Technical
20,Java,Medium,JDBC,What is JDBC and why is it used?,JDBC (Java Database Connectivity) is an API used to connect Java applications with databases. It allows execution of SQL queries and enables database-independent connectivity.,Technical
